word	C	count	sigma_nor
diversifier	8.2156973452	173	1.59637363482
sigle	8.21323602932	91	1.79857868664
connétable	8.21125864258	38	2.1504315994
bas-relief	8.21046945467	64	1.93011878758
rempart	8.19982500799	100	1.76449700148
damas	8.19908491963	15	2.57441778171
phylogénétique	8.19804579218	10	2.73939142657
connecter	8.19729660679	93	1.78935468798
tactile	8.19509260218	18	2.49171786387
dose	8.19411791293	26	2.32125624771
conservatoire	8.19408707521	105	1.74744272682
despotisme	8.19196327766	31	2.23970279349
flash	8.19043152255	33	2.2109263844
convoi	8.18885696121	67	1.90967874107
souriant	8.18839091106	26	2.32029397162
quotidien	8.18710603829	390	1.40417904855
volontaire	8.1866067235	300	1.45833106297
week-end	8.18345805184	105	1.7464548197
lisière	8.18297003418	35	2.18315935826
ensemble	8.18253128846	402	1.39809718329
limoger	8.1814402204	32	2.22355058815
foire	8.17971184568	135	1.66574947269
prolongement	8.17504767179	14	2.59949784116
continuer	8.17338500079	1012	1.25365084837
était-pas	8.17216220338	349	1.42555815337
bout	8.17004161004	329	1.43765349256
supposer	8.17003538017	273	1.47841521988
strate	8.16769856096	52	2.00912441664
atmosphérique	8.16681842623	39	2.13249414558
villageois	8.16519887176	62	1.93739193718
stocker	8.16328614936	94	1.78229077256
divorce	8.16297609543	117	1.70910053302
réserve-naturelle	8.16277601202	63	1.93078037786
cantonal	8.16230158674	102	1.75422264046
nordiste	8.16204695279	28	2.28167154518
courriels	8.161010634	19	2.46052542864
accordé	8.15766757213	25	2.33326450344
réorganisation	8.15638537146	128	1.68016758459
cépage	8.15545484229	25	2.3328872128
guelfe	8.15174834408	19	2.45878269329
séparer	8.14985659341	759	1.2911996411
papal	8.14804808911	63	1.92905870287
critiquer	8.13827715904	334	1.4327962299
notifier	8.13050130872	65	1.91478523292
démo	8.12950932678	11	2.68817857207
bulletin	8.12727987073	215	1.53281699119
apprécier	8.12441235733	278	1.47162336396
fluctuation	8.12081009025	62	1.93216652108
irrigation	8.11985027033	62	1.93205353176
cas-échéant	8.11733431173	84	1.81740136674
procureur-syndic	8.11668977807	16	2.52935028063
aiguillage	8.11311661731	21	2.40580807466
brigadier	8.11122257618	30	2.24190668147
radiophonique	8.10902653822	51	2.00969762378
cloison	8.1066042656	80	1.83392000711
instaurer	8.10255076929	342	1.42601641567
émirat	8.10160731571	40	2.11208738316
citadelle	8.098743402	59	1.94919560138
score	8.09585015352	105	1.7383121651
auditorium	8.09446400184	51	2.00783256248
rétablir	8.09373159025	260	1.48500857791
recenser	8.09234354489	285	1.46421165964
intérêts	8.0895519163	83	1.81883341216
mensuel	8.0888384004	179	1.57778654778
région-île-de-france	8.08747582195	53	1.99112183229
libéralisme	8.08554870923	50	2.01488882675
lustre	8.08121482649	53	1.99033304157
télé	8.07646829857	58	1.95332313658
golfe	8.07094561013	108	1.72674341742
el-abidine	8.0693790084	17	2.49314453592
obole	8.06937081684	11	2.67476547994
postes	8.06902768213	308	1.44603664894
doivent-être	8.06627529398	351	1.41883877413
spécialisé-dans	8.0647471628	101	1.74832420126
éjecter	8.06342692058	17	2.4919817036
découper	8.06168068508	107	1.72893510721
apprenti	8.06063222722	64	1.91272341167
mineur	8.05953180502	322	1.43613848091
batterie	8.05864635257	96	1.76487050273
magister	8.05852305158	23	2.35442206582
fonctions	8.0584387685	176	1.58013327394
er-juillet	8.05818990242	224	1.51812372265
aquitain	8.05689053888	26	2.29819869956
exportateur	8.05601418047	45	2.05515825548
alphabétique	8.05528627846	92	1.7791281068
boisson	8.05128284463	100	1.75037888187
flat	8.04918419399	24	2.33337592299
fabricant	8.04822077206	108	1.72465842584
réédition	8.04796489497	76	1.84644005572
légitime	8.04638268411	157	1.61078525434
acheminer	8.04388246719	57	1.95630201792
mécène	8.0399018224	69	1.88156298027
géorgien	8.03970593116	33	2.18783025652
destiner	8.0382899996	991	1.25201466626
châtaigne	8.03530241539	18	2.46109259787
solaire	8.03423120706	113	1.70877472147
falaise	8.03223178731	70	1.87527983046
prospérité	8.03185898807	130	1.66488676094
rime	8.03060763346	13	2.60023787227
law	8.02692427683	44	2.06072943344
accident	8.02337918027	259	1.48162268854
bic	8.0214087171	17	2.48377279833
planteur	8.02037502982	48	2.02334611393
manette	8.01903530791	21	2.38871539552
adieu	8.01883235287	40	2.10035127446
souris	8.01845550289	31	2.21245276289
coaching	8.01629869773	12	2.62935008511
associer	8.01502160881	752	1.28764885826
messin	8.01428567851	16	2.50894203555
rediffuser	8.01152084032	20	2.40935997815
grisaille	8.01057883165	11	2.66165271219
mil	8.00660881783	54	1.97338443304
ténor	8.00548610314	16	2.50718835683
usure	8.00412073714	54	1.97307347546
géant	7.9979650704	139	1.64206561121
clôture	7.9977487108	157	1.60703616237
industrialisation	7.99101676918	92	1.77278310746
antifiscales	7.99089326859	10	2.6919938632
colonnade	7.98555876656	51	1.99388479034
mélange	7.98410489847	200	1.5413871766
maîtriser	7.98401162504	133	1.6540069566
cheveu	7.98028798981	52	1.98532032365
ken	7.97885089527	10	2.68923850622
cartouche	7.97715620913	39	2.10532277087
attribution	7.97646585552	249	1.48779324016
acompte	7.97285191979	47	2.02581063045
formulaire	7.97106363124	76	1.83816586623
réparation	7.97103607878	228	1.50818832348
progiciel	7.96990228249	22	2.35886675116
gratte-ciels	7.9697718639	31	2.20480681933
congeler	7.96742529271	12	2.61871286601
biotechnologie	7.96656728559	30	2.21889562245
exporter	7.96651532008	152	1.61373363974
virée	7.9646064442	11	2.65139918464
letton	7.96204766355	24	2.31829191689
longer	7.95833885544	95	1.75868070313
consomptible	7.95739228211	15	2.52524352935
mascaron	7.95713393618	17	2.47121572677
armes	7.95675885808	47	2.02367697212
bonus	7.95547866683	56	1.95250839035
ballet	7.94864049312	50	1.99720625056
libératoire	7.94830097563	36	2.13576209465
aliéner	7.9451052916	90	1.77575656557
coffret	7.94263071979	22	2.35399379305
colombe	7.94121534093	42	2.06862326509
catégoriel	7.94108926306	12	2.61298087091
schiste	7.93985800168	53	1.97252422003
assistant	7.93927617189	147	1.62110116223
suivant	7.93915803502	1075	1.23914043841
tunnel	7.93725292477	114	1.69728154749
réfugier	7.93559999809	287	1.45360525558
titrisées	7.93462820475	16	2.49306699486
rituel	7.93454005266	115	1.69429391325
conférer	7.93040185914	280	1.45866548923
prescription	7.92960935351	82	1.80655969069
volonté	7.92819662268	487	1.35148670086
ristourne	7.92714538751	14	2.54796182402
alcôve	7.92681985342	29	2.22762267481
pente	7.92629857778	158	1.59976499421
surintendant	7.92586510764	46	2.02846370064
assignat	7.92394359854	39	2.09769942974
gascon	7.92317147179	39	2.09758881337
projeter	7.92302965781	126	1.66512922365
assister	7.92115833554	514	1.34210931911
récupération	7.92082044517	96	1.7515245517
atlantique	7.9205074358	68	1.87359704658
annoncé	7.91698498442	127	1.66222473367
aristocratique	7.91155749174	69	1.86714814675
jaloux	7.90914793165	45	2.03532757394
régler	7.90865859018	277	1.45974349339
parade	7.90798268567	50	1.99195503337
commémoratif	7.90776399652	117	1.68653336452
adapter	7.90718816136	563	1.32673666885
réveil	7.90434032164	39	2.09489102651
promenade	7.90251661078	127	1.66099309484
chactas	7.9022775743	10	2.67171813635
pédagogue	7.90093288717	28	2.23901455363
sanction	7.90092353698	130	1.65386110561
solitaire	7.89940405509	64	1.8940056023
spécialiste	7.8937127609	261	1.47202009693
régulier	7.88390454856	453	1.36195906343
aigle	7.88382810578	77	1.8240912968
plaisir	7.88160342204	120	1.67641808978
alinéa	7.87692886497	82	1.80108123474
espérer	7.87664319227	212	1.51959315626
trouvent	7.87468903353	388	1.38957203711
fusiller	7.87461998112	49	1.99581515742
cadavre	7.87389979918	70	1.85760979285
conciliateur	7.87110062141	14	2.53631076548
puceau	7.8651340151	12	2.59644933163
oraison	7.8648178106	27	2.24920072923
pseudonyme	7.86370108127	66	1.87829607173
désir	7.86313360262	157	1.59665896334
rive-gauche	7.8628877261	110	1.70183769181
quelqu	7.85668461306	71	1.85048956796
spécification	7.8552666804	21	2.35896193417
progressif	7.85320338201	230	1.49852085734
authentification	7.85168242401	20	2.37981666155
golf	7.84726929936	103	1.72139539692
vénitien	7.84724125157	68	1.86531501846
intention	7.84707502547	304	1.43634884432
bactérie	7.84602201456	30	2.1997198679
