word	C	count	sigma_nor
revêtir	2.64592267741	75	1.26663815265
interfédéral	2.64572290269	20	1.41758671765
poussine	2.64504713437	7	1.47014456733
verbe	2.64442395594	50	1.31213258813
twin-tip	2.64235480011	10	1.46822073899
dernière	2.64223403412	172	1.18643446196
bisannuel	2.64073328136	11	1.46398031946
considérable	2.64039179324	105	1.23125841803
coudière	2.63897833228	9	1.47011552212
isolé	2.63845801553	37	1.34670334364
nord-est	2.63801113479	56	1.29825915988
jante	2.63771834182	11	1.46330787743
œdème	2.63751908505	16	1.4373992862
débrayer	2.63410610953	4	1.41421165327
égayer	2.63410112153	4	1.41421030082
inhabité	2.63410070433	4	1.4142101877
papagei	2.63409363741	4	1.41420827158
ski-arc	2.63409363741	4	1.41420827158
carpet	2.63408569762	4	1.41420611878
quantique	2.63407243463	4	1.41420252266
apit	2.63407233878	4	1.41420249666
posts	2.63406766413	4	1.41420122918
jisei	2.63406570632	4	1.41420069834
jociste	2.63406511963	4	1.41420053927
jouvence	2.6340615061	4	1.41419955949
block-tournaments	2.63405932912	4	1.41419896923
flanks	2.63405478495	4	1.41419773712
behinds	2.63404190579	4	1.41419424506
toulouse	2.63403767264	4	1.41419309729
tekong	2.63403720724	4	1.4141929711
prizepool	2.63403640925	4	1.41419275473
beynoise	2.63403586709	4	1.41419260773
chevillière	2.63403514499	4	1.41419241194
valdostano	2.63403193737	4	1.41419154223
bulldog	2.63402679791	4	1.41419014871
cidj	2.63402017989	4	1.4141883543
article-metier	2.63402017989	4	1.4141883543
rifler	2.6340178156	4	1.41418771325
kwh	2.63401488238	4	1.41418691794
parleur	2.63401391277	4	1.41418665503
slamball	2.6340130592	4	1.4141864236
rouquin	2.63400831657	4	1.41418513768
half-back	2.63400326843	4	1.41418376893
half-forward	2.63400326843	4	1.41418376893
tao-hni	2.63400026785	4	1.41418295535
américano-canadienne	2.63398687172	4	1.41417932312
harness	2.63398619817	4	1.4141791405
non-membre	2.63398438051	4	1.41417864766
kin-ball	2.63398433648	4	1.41417863572
benn	2.63398386421	4	1.41417850767
loppet	2.63398353713	4	1.41417841898
cranks	2.63396041012	4	1.41417214832
déformable	2.63395952153	4	1.41417190739
shuri-te	2.63395875792	4	1.41417170035
keibo	2.63394392547	4	1.41416767868
center	2.63393023071	4	1.41416396548
right	2.63393023071	4	1.41416396548
ovule	2.63392163159	4	1.41416163391
jetable	2.63392158314	4	1.41416162078
pochette	2.63390226376	4	1.41415638252
ballast	2.63389921255	4	1.41415555521
revégétalisation	2.63389746308	4	1.41415508086
víg	2.63388560476	4	1.41415186559
fast-pitch	2.63388102585	4	1.41415062407
idéophonogramme	2.63387854759	4	1.41414995211
handpass	2.63387447863	4	1.41414884886
inadaptation	2.63384627445	4	1.41414120157
clochepied	2.63383870667	4	1.41413914964
archery-trap	2.6338382054	4	1.41413901373
mausolée	2.63382959778	4	1.41413667986
dauphinois	2.63380299875	4	1.4141294678
kenkokan	2.63379833807	4	1.4141282041
bâlois	2.63378671194	4	1.41412505179
bihebdomadaire	2.63378328302	4	1.41412412207
farming	2.6337808827	4	1.41412347125
passe-partout	2.63374619332	4	1.41411406557
charriots	2.6337438154	4	1.41411342082
curiste	2.63374180283	4	1.41411287513
sudation	2.63373221831	4	1.41411027639
bougie	2.63371141256	4	1.41410463511
quarterbacks	2.63370991912	4	1.41410423018
cathéter	2.63370925506	4	1.41410405013
unlimited	2.63368838689	4	1.41409839193
bunraku	2.63367264135	4	1.41409412268
dormeur	2.63366511942	4	1.41409208319
excursionnisme	2.63364565601	4	1.41408680588
tunisois	2.63362447905	4	1.41408106396
killer	2.63362319714	4	1.41408071638
joaillier	2.63362169108	4	1.41408030803
croix-rouge	2.63361434233	4	1.41407831549
boultenn	2.63358305304	4	1.41406983171
quillier	2.63357792767	4	1.41406844201
founder	2.6335615422	4	1.41406399926
héliportage	2.63356016138	4	1.41406362486
koka	2.63355777945	4	1.41406297902
sédiment	2.63351166086	4	1.41405047443
eider	2.63349817749	4	1.41404681855
ailsite	2.63349419	4	1.41404573738
knee-strike	2.63348893253	4	1.41404431187
pré-contact	2.63344813008	4	1.41403324869
non-mixtes	2.63344655996	4	1.41403282297
belly	2.63344619559	4	1.41403272417
baz	2.63344262018	4	1.41403175473
ouranie	2.63343975604	4	1.41403097815
supplémentation	2.6334288659	4	1.4140280254
reformatage	2.63339388985	4	1.41401854199
dhanur	2.63337547473	4	1.41401354891
court-bâton	2.63337496731	4	1.41401341133
cosmologie	2.63336214186	4	1.41400993384
encéphale	2.63334455172	4	1.41400516445
hogline	2.63333795003	4	1.41400337447
aïkidō	2.63333056182	4	1.41400137123
puritanisme	2.63332612298	4	1.41400016768
absinthe	2.63329548959	4	1.41399186174
loser	2.63328263382	4	1.41398837603
musico	2.63326606188	4	1.41398388271
canyoniste	2.63326226208	4	1.41398285243
cénacle	2.63324497398	4	1.41397816494
shotobudō	2.63323689449	4	1.41397597426
domestic	2.63322102424	4	1.4139716712
anabolisantes	2.6332189862	4	1.41397111861
journées-skieurs	2.63321493256	4	1.4139700195
biche	2.63319127034	13	1.45269772243
krog	2.6331720122	4	1.41395838208
malinois	2.63316514386	4	1.41395651979
équilibrisme	2.63315007281	4	1.41395243343
noto	2.63312266123	4	1.41394500105
encre	2.6330767486	4	1.4139325523
farter	2.63301928935	11	1.46225981648
dissiper	2.632989201	4	1.41390881464
défis	2.63294649404	4	1.41389723507
quat	2.63293668192	4	1.41389457461
dribbling	2.63292187746	4	1.41389056053
magma	2.63291129555	4	1.41388769135
abonnés	2.63283610971	4	1.41386730546
clipper	2.63280323694	4	1.41385839233
