,Business,Entertainment,Food,Science,Culture,Health,Politics,International,Sport,Technology,Economy
115insideview,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115invisiblecrm,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115sap,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115table,0.0,0.0,0.0,0.00057158460784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163clogic,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116tamarac,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00261109225571,0.0,0.0,0.0
117amarket,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117bmarket,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117emailvision,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117kana,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117strategic,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118access,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118swk,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118workwise,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119dominion,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119silverpop,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119table,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11crm,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11marketing,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11product,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.00157329041918,0.0,0.000191991658768,0.0,0.0,0.0,0.00175409878605,0.00154270330435,0.0,0.0
120eprize,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120light,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120primeum,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120sopra,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121amarket,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121industry,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121product,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121strategic,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121sugarcrm,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121veeva,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122market,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122microsoft,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123key,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123market,0.0,0.0,0.0,0.00057158460784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123oracle,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123sugarcrm,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124intuit,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124oracle,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124sugarcrm,0.0,0.0,0.0,0.00057158460784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125accenture,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125linkedin,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125relate,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125zs,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126net,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126virtuoz,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00261109225571,0.0,0.0,0.0
127assuresign,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
