Word,Specificity Score
overriding,1.9285714285714286
oxyimino-cephalosporins,1.9285714285714286
part-works,1.9285714285714286
patch-test,1.9285714285714286
perioral,1.9285714285714286
pharmacogentics,1.9285714285714286
phosphor,1.9285714285714286
photofluorography,1.9285714285714286
photoproduct,1.9285714285714286
phylloxera,1.9285714285714286
physics-based,1.9285714285714286
platensimycin,1.9285714285714286
pneumoniae-positive,1.9285714285714286
population-specific,1.9285714285714286
portoloo,1.9285714285714286
posess,1.9285714285714286
praxis,1.9285714285714286
pre-menopausal,1.9285714285714286
preproduction,1.9285714285714286
prime-boosting,1.9285714285714286
pristinamycine,1.9285714285714286
pro-cancer,1.9285714285714286
prophylactic-therapeutic,1.9285714285714286
protectants,1.9285714285714286
pseudomyxomasurvivor,1.9285714285714286
psychologique,1.9285714285714286
pteroylglutamates,1.9285714285714286
quartz-halogen,1.9285714285714286
quay,1.9285714285714286
race-dependent,1.9285714285714286
radioimmunotherapy,1.9285714285714286
radiosensitizing,1.9285714285714286
rapid-cycling,1.9285714285714286
re-captured,1.9285714285714286
re-expansion,1.9285714285714286
re-infected,1.9285714285714286
re-unite,1.9285714285714286
recolouring,1.9285714285714286
recut,1.9285714285714286
reproducibly,1.9285714285714286
reruiting,1.9285714285714286
retired’,1.9285714285714286
sales,1.9285714285714286
sanatorium’,1.9285714285714286
scanlines,1.9285714285714286
scythe-like,1.9285714285714286
self-diagnose,1.9285714285714286
self-diagnosing,1.9285714285714286
self-stimulatory,1.9285714285714286
setpoints,1.9285714285714286
shistosomiasis,1.9285714285714286
sidearm,1.9285714285714286
six-hour,1.9285714285714286
sleepover,1.9285714285714286
slighty,1.9285714285714286
study-related,1.9285714285714286
subpages,1.9285714285714286
superfruit,1.9285714285714286
supersensitive,1.9285714285714286
surveying,1.9285714285714286
symbiotes,1.9285714285714286
synergysm,1.9285714285714286
tax-favored,1.9285714285714286
technocratic,1.9285714285714286
temperature-stable,1.9285714285714286
timebomb,1.9285714285714286
trance-like,1.9285714285714286
treatment-oriented,1.9285714285714286
ultra-accelerators,1.9285714285714286
uncertified,1.9285714285714286
underappreciate,1.9285714285714286
underprepared,1.9285714285714286
universitaires,1.9285714285714286
unneutered,1.9285714285714286
unpasteurised,1.9285714285714286
unproduced,1.9285714285714286
unrecognisable,1.9285714285714286
unreimburs,1.9285714285714286
untrappable,1.9285714285714286
uricase,1.9285714285714286
user-dependent,1.9285714285714286
venereologist,1.9285714285714286
very-high-dose,1.9285714285714286
viral-based,1.9285714285714286
volition,1.9285714285714286
wall-less,1.9285714285714286
waterworks,1.9285714285714286
whole-cells,1.9285714285714286
wome,1.9285714285714286
workplace-related,1.9285714285714286
youth-led,1.9285714285714286
β-receptors,1.9285714285714286
アクシア,1.9285714285714286
スカーレットバイオリン,1.9285714285714286
ドリーミング☆プリンセスプリキュア,1.9285714285714286
フラット,1.9285714285714286
レインボーキャリッジ,1.9285714285714286
古今算法之記,1.9285714285714286
anaphylaxic,1.925
mtt,1.91796875
adjudin,1.9166666666666667
after-image,1.9166666666666667
agence,1.9166666666666667
alcool,1.9166666666666667
allergie,1.9166666666666667
allons,1.9166666666666667
anti-tetanus,1.9166666666666667
anticlotting,1.9166666666666667
basque,1.9166666666666667
beta-strand,1.9166666666666667
cds,1.9166666666666667
cholangio-pancreatography,1.9166666666666667
co-vitamins,1.9166666666666667
digitise,1.9166666666666667
disapplies,1.9166666666666667
doeses,1.9166666666666667
editorialize,1.9166666666666667
environment-linked,1.9166666666666667
epidiomologic,1.9166666666666667
exclusively-filmed,1.9166666666666667
extralesional,1.9166666666666667
eyepatches,1.9166666666666667
flashy,1.9166666666666667
gaveled,1.9166666666666667
half-arachnid,1.9166666666666667
hand-preserved,1.9166666666666667
hawaiiensis,1.9166666666666667
hyper-cvad,1.9166666666666667
identafi,1.9166666666666667
immunization-related,1.9166666666666667
impetere,1.9166666666666667
instanteously,1.9166666666666667
interconnection,1.9166666666666667
large-animal,1.9166666666666667
life-years,1.9166666666666667
lipophillic,1.9166666666666667
mealtime,1.9166666666666667
mesonephroid,1.9166666666666667
micoplasmas,1.9166666666666667
monied,1.9166666666666667
movies-and-mental-illness,1.9166666666666667
multi-episode,1.9166666666666667
non-error,1.9166666666666667
non-ibc,1.9166666666666667
non-senior-citizen,1.9166666666666667
nonmember,1.9166666666666667
over-awareness,1.9166666666666667
over-reaching,1.9166666666666667
palais,1.9166666666666667
parathormone,1.9166666666666667
part-edited,1.9166666666666667
pay-cable,1.9166666666666667
periplasmic-binding-protein-dependent,1.9166666666666667
person-year,1.9166666666666667
pre-intro,1.9166666666666667
preceeding,1.9166666666666667
proteobacterium,1.9166666666666667
psychotechnology,1.9166666666666667
purudu,1.9166666666666667
radical-socialist,1.9166666666666667
radio-tv,1.9166666666666667
re-jigged,1.9166666666666667
relatedness,1.9166666666666667
renegotiation,1.9166666666666667
robin,1.9166666666666667
rustle,1.9166666666666667
self-policing,1.9166666666666667
self-raising,1.9166666666666667
short-o,1.9166666666666667
side-by-side,1.9166666666666667
smooth-seeded,1.9166666666666667
tax-financed,1.9166666666666667
timpanist,1.9166666666666667
tokusatsu,1.9166666666666667
tonsure,1.9166666666666667
unbidden,1.9166666666666667
vaccinea,1.9166666666666667
vitaminology,1.9166666666666667
wolfbane,1.9166666666666667
ˈdʒɛnər,1.9166666666666667
α-enolase,1.9166666666666667
シビレッタ,1.9166666666666667
プリキュアモードにswitch,1.9166666666666667
魔法学校,1.9166666666666667
lexicographer,1.9134615384615385
profession-based,1.9107142857142858
філософії,1.9027777777777777
needy,1.9017857142857142
non-zero,1.9007936507936507
adventitia,1.9
aegyptius,1.9
calreticulin,1.9
enrolees,1.9
gether,1.9
guinevere,1.9
head-trunk,1.9
helsepersonellnemnd,1.9
ifp,1.9
kebeles,1.9
latter-day,1.9
mayorship,1.9
mgi,1.9
mid-clavicular,1.9
pachyosteosclerosis,1.9
parent-controlled,1.9
prodcucts,1.9
thedo,1.9
tumor-producing,1.9
under-vaccination,1.9
antbiotics,1.8958333333333333
doethur,1.8958333333333333
elicitor,1.8958333333333333
abscessedit,1.8928571428571428
acquainted,1.8928571428571428
actant,1.8928571428571428
actioned,1.8928571428571428
adjuvant-adsorbed,1.8928571428571428
agae,1.8928571428571428
albiglutide,1.8928571428571428
alfalfa-based,1.8928571428571428
alliteration,1.8928571428571428
already-disadvantaged,1.8928571428571428
alveolar-type,1.8928571428571428
ampicillin-resistant,1.8928571428571428
anti-vzv,1.8928571428571428
antimicrobics,1.8928571428571428
apoa-i,1.8928571428571428
autistic-like,1.8928571428571428
azathoprine,1.8928571428571428
benzenesulfonamide,1.8928571428571428
biostratigraphy,1.8928571428571428
brainwaves,1.8928571428571428
bugger,1.8928571428571428
bushel,1.8928571428571428
canceled,1.8928571428571428
canceler,1.8928571428571428
cancer-directed,1.8928571428571428
carnivalesque,1.8928571428571428
catabolilzed,1.8928571428571428
cauldron,1.8928571428571428
cell-membrane,1.8928571428571428
cell-types,1.8928571428571428
cetera,1.8928571428571428
charity-led,1.8928571428571428
chicken-liver,1.8928571428571428
chicken’,1.8928571428571428
chrysalis,1.8928571428571428
classless,1.8928571428571428
co-consecrators,1.8928571428571428
co-deleted,1.8928571428571428
co-factors,1.8928571428571428
cold-hemagglutinin-test,1.8928571428571428
complainant,1.8928571428571428
contactant,1.8928571428571428
cotton-tipped,1.8928571428571428
countersuit,1.8928571428571428
cross-reactivities,1.8928571428571428
cybernetically,1.8928571428571428
cycle-independent,1.8928571428571428
daily-ingested,1.8928571428571428
dampness,1.8928571428571428
darling,1.8928571428571428
deoxyribonuclease,1.8928571428571428
detoxing,1.8928571428571428
diamine,1.8928571428571428
dibekacin,1.8928571428571428
didactics,1.8928571428571428
difficult-to-manage,1.8928571428571428
digitalis,1.8928571428571428
disease-stricken,1.8928571428571428
distracted,1.8928571428571428
do-now-to,1.8928571428571428
dog-allergic,1.8928571428571428
dopiness,1.8928571428571428
dose-specific,1.8928571428571428
early-october,1.8928571428571428
ebooks,1.8928571428571428
editorship,1.8928571428571428
elicitor-binding,1.8928571428571428
ellipsoid,1.8928571428571428
emprise,1.8928571428571428
equines,1.8928571428571428
ermep,1.8928571428571428
ex-doctor,1.8928571428571428
ex-godflesh,1.8928571428571428
ex-ministers,1.8928571428571428
factor-β,1.8928571428571428
fade-out,1.8928571428571428
fairground,1.8928571428571428
far-advanced,1.8928571428571428
five-and-a-half-year,1.8928571428571428
fluorescent-tagged,1.8928571428571428
fmri,1.8928571428571428
folate-mediated,1.8928571428571428
foreign-own,1.8928571428571428
foresight,1.8928571428571428
fresh-smelling,1.8928571428571428
fruit-eating,1.8928571428571428
full-band,1.8928571428571428
fusioned,1.8928571428571428
geminiviruses,1.8928571428571428
gender-differentiated,1.8928571428571428
geode,1.8928571428571428
glossolalia,1.8928571428571428
goth,1.8928571428571428
harper,1.8928571428571428
health-behavioral,1.8928571428571428
